#OTU ID	Fox-CI01-L-rep1	Fox-CI01-L-rep2	Fox-CI01-L-rep3	Fox-CI02-M-rep1	Fox-CI02-M-rep2	Fox-CI02-M-rep3	Fox-CI03-R-rep1	Fox-CI03-R-rep2	Fox-CI03-R-rep3	Fox-RO01-X-rep1	Fox-RO01-X-rep2	Fox-RO01-X-rep3	Fox-RO02-X-rep1	Fox-RO02-X-rep2	Fox-RO02-X-rep3	Fox-RO03-X-rep1	Fox-RO03-X-rep2	Fox-RO03-X-rep3	Fox-AD01-R-rep1	Fox-AD01-R-rep2	Fox-AD01-R-rep3	Fox-AD02-M-rep1	Fox-AD02-M-rep2	Fox-AD02-M-rep3	Fox-AD03-L-rep1	Fox-AD03-L-rep2	Fox-AD03-L-rep3	Fox-IA01-L-rep1	Fox-IA01-L-rep2	Fox-IA01-L-rep3	Fox-IA02-M-rep1	Fox-IA02-M-rep2	Fox-IA02-M-rep3	Fox-IA03-R-rep1	Fox-IA03-R-rep2	Fox-IA03-R-rep3	Fox-SB01-L-rep1	Fox-SB01-L-rep2	Fox-SB01-L-rep3	Fox-SB02-M-rep1	Fox-SB02-M-rep2	Fox-SB02-M-rep3	Fox-SB03-R-rep1	Fox-SB03-R-rep2	Fox-SB03-R-rep3	Fox-VP01-L-rep1	Fox-VP01-L-rep2	Fox-VP01-L-rep3	Fox-VP02-M-rep1	Fox-VP02-M-rep2	Fox-VP02-M-rep3	Fox-VP03-R-rep1	Fox-VP03-R-rep2	Fox-VP03-R-rep3
Etheostoma zonale	255.0	0.0	0.0	0.0	4559.0	0.0	0.0	0.0	0.0	0.0	299.0	1440.0	3533.0	0.0	7.0	0.0	0.0	6894.0	0.0	0.0	3147.0	0.0	78.0	2093.0	2800.0	919.0	3935.0	0.0	0.0	0.0	0.0	6913.0	0.0	0.0	0.0	1117.0	0.0	0.0	349.0	2311.0	577.0	327.0	0.0	0.0	851.0	5961.0	8066.0	7037.0	4473.0	4636.0	1817.0	565.0	759.0	534.0
Felis catus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fundulus notatus	1514.0	735.0	1661.0	0.0	0.0	212.0	0.0	4.0	0.0	473.0	0.0	0.0	2.0	3.0	527.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	643.0	3035.0	0.0	0.0	0.0	0.0	3.0	1015.0	0.0	7.0	0.0	0.0	0.0	0.0	7998.0	12199.0	4065.0	0.0	0.0	0.0	0.0	1463.0	0.0	0.0	0.0	0.0
Gambusia affinis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1893.0	206.0	2891.0	1046.0	1589.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	273.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Homo sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.0	0.0	0.0	0.0	1503.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ictalurus punctatus	4.0	22.0	31.0	0.0	0.0	0.0	21.0	0.0	0.0	45.0	22.0	10.0	0.0	0.0	6.0	15.0	0.0	0.0	0.0	23.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	15.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	24.0	22.0	0.0	0.0	0.0	0.0	8.0	38.0	8.0	0.0	0.0	0.0
Lepomis cyanellus	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	26.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	857.0	2078.0	3558.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	157.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lepomis macrochirus	630.0	1524.0	1899.0	3382.0	1986.0	98.0	2956.0	67.0	570.0	2151.0	443.0	3101.0	0.0	0.0	408.0	0.0	0.0	3511.0	3672.0	2410.0	0.0	247.0	0.0	0.0	431.0	0.0	2549.0	571.0	1543.0	6737.0	0.0	0.0	0.0	0.0	1706.0	476.0	6603.0	1639.0	1016.0	0.0	109.0	0.0	38.0	1094.0	2136.0	1975.0	4976.0	1565.0	0.0	0.0	0.0	0.0	0.0	0.0
Melanerpes carolinus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	845.0	0.0	0.0	0.0	0.0	0.0	0.0
Meleagris gallopavo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	176.0
